,day,time,Parkgarage am Central,Parkhaus City Parking,Parkhaus Globus,Parkhaus Hohe Promenade,Parkhaus Jelmoli,Parkhaus Opéra,Parkhaus Talgarten,Parkhaus Urania
240,5,08:00:00,36.5,525.0,125.0,462.5,191.5,262.5,91.0,401.0
241,5,08:15:00,33.5,512.0,123.0,459.5,187.0,258.5,89.5,400.0
242,5,08:30:00,33.5,495.0,115.0,455.5,178.0,252.5,87.5,394.5
243,5,08:45:00,33.5,471.5,98.0,447.0,160.5,247.0,84.0,372.5
244,5,09:00:00,28.5,447.0,72.0,438.5,128.5,233.5,77.0,347.0
245,5,09:15:00,28.5,424.0,50.0,434.0,79.5,217.0,70.5,314.5
246,5,09:30:00,26.5,399.0,36.5,432.0,32.0,203.0,64.0,282.0
247,5,09:45:00,26.5,371.0,25.0,421.0,0.0,187.5,55.0,249.0
248,5,10:00:00,19.5,337.0,6.5,405.5,0.0,175.5,40.0,197.5
249,5,10:15:00,19.5,305.5,0.5,398.5,0.0,159.0,25.5,131.0
250,5,10:30:00,18.0,277.5,0.0,386.0,0.0,152.5,14.0,75.0
251,5,10:45:00,17.0,235.0,0.0,368.5,0.0,142.5,7.5,31.5
252,5,11:00:00,17.0,198.5,0.0,355.0,0.0,128.0,4.0,0.0
253,5,11:15:00,17.0,163.0,0.0,341.0,0.0,109.5,0.0,1.5
254,5,11:30:00,13.0,128.5,0.0,317.5,0.0,88.5,0.0,3.0
255,5,11:45:00,9.5,91.5,0.0,301.5,0.0,73.0,0.0,0.5
256,5,12:00:00,5.0,61.5,0.0,282.0,0.0,49.5,0.0,1.5
257,5,12:15:00,3.5,33.0,0.0,264.0,0.0,37.0,0.0,0.5
258,5,12:30:00,3.5,12.5,0.0,236.0,0.0,29.5,0.0,0.5
259,5,12:45:00,1.0,7.5,1.5,224.0,0.0,25.5,1.0,2.0
260,5,13:00:00,1.5,8.0,0.5,210.5,0.0,13.5,0.5,0.0
261,5,13:15:00,1.5,7.0,0.5,180.5,0.0,3.5,0.0,0.5
262,5,13:30:00,0.0,12.0,0.0,162.0,0.0,3.0,0.0,0.0
263,5,13:45:00,1.5,6.0,0.0,144.0,0.0,4.5,0.5,0.5
264,5,14:00:00,1.0,8.0,0.0,106.0,0.0,2.5,0.0,0.0
265,5,14:15:00,0.0,13.5,0.0,94.0,0.0,2.0,0.0,0.5
266,5,14:30:00,2.0,9.5,0.0,81.0,0.0,0.0,0.0,1.5
267,5,14:45:00,1.5,8.5,0.0,60.0,0.0,4.5,0.0,5.0
268,5,15:00:00,1.5,12.0,0.0,54.5,0.0,2.0,0.5,1.5
269,5,15:15:00,2.0,13.0,0.0,47.0,0.0,5.0,0.0,1.0
270,5,15:30:00,0.5,17.0,0.0,55.0,0.0,7.5,0.0,1.5
271,5,15:45:00,0.5,15.0,0.5,62.0,0.0,11.5,0.0,0.0
