,Parkhaus Hohe Promenade,time
96,423.0,08:00:00
97,414.0,08:15:00
98,406.5,08:30:00
99,400.0,08:45:00
100,385.5,09:00:00
101,377.0,09:15:00
102,363.0,09:30:00
103,352.0,09:45:00
104,339.5,10:00:00
105,324.5,10:15:00
106,320.0,10:30:00
107,314.5,10:45:00
108,303.5,11:00:00
109,293.5,11:15:00
110,291.0,11:30:00
111,280.0,11:45:00
112,264.0,12:00:00
113,251.0,12:15:00
114,250.0,12:30:00
115,249.0,12:45:00
116,242.0,13:00:00
117,243.0,13:15:00
118,238.5,13:30:00
119,239.0,13:45:00
120,241.0,14:00:00
121,240.5,14:15:00
122,248.5,14:30:00
123,247.5,14:45:00
124,244.0,15:00:00
125,251.5,15:15:00
126,256.0,15:30:00
127,262.0,15:45:00
128,269.5,16:00:00
129,282.5,16:15:00
130,291.0,16:30:00
131,295.5,16:45:00
132,300.5,17:00:00
133,307.5,17:15:00
134,317.0,17:30:00
135,319.5,17:45:00
136,318.5,18:00:00
137,312.5,18:15:00
138,304.5,18:30:00
139,305.5,18:45:00
140,304.5,19:00:00
141,299.0,19:15:00
142,296.5,19:30:00
143,294.0,19:45:00
