,Parkhaus Jelmoli,time
96,180.0,08:00:00
97,178.0,08:15:00
98,173.0,08:30:00
99,162.5,08:45:00
100,142.5,09:00:00
101,124.0,09:15:00
102,105.0,09:30:00
103,74.5,09:45:00
104,52.0,10:00:00
105,28.5,10:15:00
106,9.0,10:30:00
107,3.5,10:45:00
108,0.0,11:00:00
109,0.0,11:15:00
110,0.0,11:30:00
111,0.0,11:45:00
112,0.0,12:00:00
113,0.0,12:15:00
114,0.0,12:30:00
115,0.0,12:45:00
116,0.0,13:00:00
117,0.0,13:15:00
118,0.0,13:30:00
119,0.0,13:45:00
120,1.5,14:00:00
121,0.0,14:15:00
122,0.0,14:30:00
123,0.0,14:45:00
124,0.0,15:00:00
125,0.0,15:15:00
126,0.0,15:30:00
127,1.5,15:45:00
128,2.0,16:00:00
129,6.5,16:15:00
130,18.5,16:30:00
131,17.0,16:45:00
132,26.5,17:00:00
133,28.5,17:15:00
134,25.5,17:30:00
135,33.0,17:45:00
136,37.5,18:00:00
137,28.0,18:15:00
138,15.5,18:30:00
139,9.5,18:45:00
140,7.0,19:00:00
141,13.0,19:15:00
142,19.0,19:30:00
143,17.5,19:45:00
