,jahr,name,zufr,vorb_f,vorb_p,prob,urt,zus,konf
0,2018,Hottingen,4.6,4.0,4.5,4.1,4.0,4.6,4.3
1,2018,KZN,4.7,4.1,4.1,4.4,4.5,4.5,4.3
2,2018,Realgym Raemibuehl,5.1,4.3,4.5,4.4,4.3,4.7,4.2
3,2018,Stadelhofen,4.9,3.9,4.9,4.5,4.7,5.0,4.4
4,2018,LG Raemibuehl,4.7,3.9,4.5,4.4,4.6,4.8,4.2
5,2018,Freudenberg,5.2,4.5,4.5,4.6,4.5,5.2,4.1
6,2018,KSHP,5.1,4.3,4.7,4.6,4.5,4.7,4.1
7,2018,Limmattal,4.9,4.4,4.2,4.4,4.4,4.8,4.1
8,2018,KZU,5.1,4.6,4.6,4.6,4.4,5.0,4.4
9,2018,Rychenberg,5.0,4.5,4.5,4.4,4.4,4.8,4.1
10,2018,im Lee,4.8,4.3,4.3,4.4,4.6,4.9,4.2
11,2018,KBW,4.9,4.0,4.6,4.6,4.9,4.7,4.6
12,2018,KEN,4.8,4.1,4.6,4.5,4.7,4.5,4.3
13,2018,KME,4.9,4.5,4.8,4.5,4.6,4.4,4.2
14,2018,KZO,5.0,4.4,4.5,4.6,4.6,4.7,4.1
15,2018,Wiedikon,4.9,4.3,4.7,4.5,4.5,4.8,4.2
16,2018,Kuesnacht,4.7,3.6,4.8,4.5,4.9,4.8,4.3
17,2018,Liceo Artistico,4.8,4.1,5.4,4.5,4.4,5.1,4.4
18,2018,MNG,5.2,4.9,4.7,4.4,4.4,4.5,4.1
19,2018,Uster,4.3,4.2,4.0,4.2,4.1,4.7,3.7
